,Subgroup,N,est,low,hi,Udjusted_P_Value,se,,Udjusted HR (95% CI)
1,Sex,2193,,,,,,,
2,greater than 0.5,,0.23,0.13,0.33,0.0001,0.002,,0.23 (0.13-0.33)
3,less than or equal to 0.5,,0.13,-0.15,2.2,0.83,1.44,,0.13 (-0.15-2.20)
4,Age,2193,,,,,,,
5,Early Adolescence,,1.4363,-0.45,3.32,0.136,1.8847,,1.4363 (-0.45-3.32)
6,Childhood,,0.3305,0.2025,0.4584,0.0025,0.0501,,0.3305 (0.2025-0.4584)
7,Middle Adolescence,,0.1442,-0.0137,0.3021,,,,0.1442 (-0.0137-0.3021)
8,BMI,432,,,,,,,
9,Normal weight,,0.4021,0.1243,0.6799,0.0046,0.1118,,0.4021 (0.1243-0.6799)
10,Overweight,,1.7551,-0.6771,4.1873,0.157,2.1101,,1.7551 (-0.6771-4.1873)
11,Obesity,,1.3536,0.5207,2.1866,,,,1.3536 (0.5207-2.1866)
12,Location,2193,,,,,,,
13,European,,0.2693,0.023,0.5156,0.032,0.2228,,0.2693 (0.023-0.5156)
14,Asia,,1.0698,-0.1196,2.2591,0.078,1.4419,,1.0698 (-0.1196-2.2591)
15,North America,,0.4872,0.2307,0.7437,0.0002,0,,0.4872 (0.2307-0.7437)
16,Oceania,,0.1036,-0.233,0.4402,0.546,0,,0.1036 (-0.233-0.4402)
17,Per_session_exercise_duration,1575,,,,,,,
18,less than or equal to 40,,0.4646,0.2709,0.6584,0.0001,0.1587,,0.4646 (0.2709-0.6584)
19,greater than40,,0.7775,-0.279,1.834,0.15,1.3905,,0.7775 (-0.279-1.834)
20,Frequency,1310,,,,,,,
21,less than 3,,0.2744,0.1218,0.4269,0.0005,0.0018,,0.2744(0.1218-0.4269)
22,Greater than or equal to 3,,0.4453,0.1531,0.7376,0.0028,0.2627,,0.4453(0.1531-0.7376)
23,Int_weeklyvolume,1234,,,,,,,
24,less than or equal to 8,,0.2695,0.0619,0.4772,0.011,0.1743,,0.2695(0.0619-0.4772)
25,greater than 8,,0.4637,0.1706,0.7569,0.002,0,,0.4637(0.1706-0.7569)
26,Exercise Intensity,551,,,,,,,
27,medium intensity,,0.5434,-0.1292,1.2161,0.114,0.5059,,0.5434 (-0.1292-1.2161)
28,moderate-to-vigorous intensity,,0.3595,0.0431,0.676,0.026,0.2029,,0.3595 (0.0431-0.676)
29,low intensity,,0.313,-0.0373,0.6633,0.08,0,,0.313(-0.0373-0.6633)
